Product_id,Review_rating,clean_review
8, 5.0 out of 5 stars, thank you knoos and amazon
8, 1.0 out of 5 stars, not at all a good product
8, 5.0 out of 5 stars, ossm products buy it without thinking
8, 5.0 out of 5 stars, nice shoesfits as expectedvalue for money
8, 1.0 out of 5 stars, worst worst worst
8, 3.0 out of 5 stars, can get better stuff for this price
8, 1.0 out of 5 stars, poor quality
8, 1.0 out of 5 stars, buy only if you like low quality shoes
9,5.0 out of 5 stars,material is good and comfortable nice product
9, 5.0 out of 5 stars, comffotable fit
9, 5.0 out of 5 stars, superb quality
9, 4.0 out of 5 stars, worth for money
9, 5.0 out of 5 stars, quality
9, 5.0 out of 5 stars, very comfort
9, 5.0 out of 5 stars, yah product mujhe bahut achcha
9, 4.0 out of 5 stars, good
9, 5.0 out of 5 stars, best in bata at this range
9, 4.0 out of 5 stars, nice
10,5.0 out of 5 stars,its nice and very comfortable
10, 1.0 out of 5 stars, how can you cheat with customer you erase size number back side of shoes
11,5.0 out of 5 stars,great looking shoes i like it
11, 1.0 out of 5 stars, total fake
11, 5.0 out of 5 stars, feedback
11, 1.0 out of 5 stars, disappointed
11, 3.0 out of 5 stars, below average product
11, 1.0 out of 5 stars, pathetic product  never buy
11, 1.0 out of 5 stars, product shown in the website is totally different than what i received
11, 1.0 out of 5 stars, dont buy
11, 2.0 out of 5 stars, poor quality
11, 2.0 out of 5 stars, worst packaging size doesnt fits well
12,3.0 out of 5 stars,average quality you can buy if you want to try white shoes in budget
12, 4.0 out of 5 stars, product is not very good but good
12, 5.0 out of 5 stars, very comfortable
12, 5.0 out of 5 stars, superb product
12, 4.0 out of 5 stars, nice product
12, 5.0 out of 5 stars, best at this price
12, 4.0 out of 5 stars, niceee
13,1.0 out of 5 stars,please dont buy
13, 5.0 out of 5 stars, this shoes are very light weighted
14,5.0 out of 5 stars, no hai bhai  love it
14, 5.0 out of 5 stars, really awesome
14, 5.0 out of 5 stars, excellent sneakers
14, 5.0 out of 5 stars, chep and best
14, 5.0 out of 5 stars, kraasa is the best as per quality fit  comfort
14, 1.0 out of 5 stars, not worth the price
14, 1.0 out of 5 stars, dont buy pathetic
14, 3.0 out of 5 stars, a complete review of the shoe after its use
14, 3.0 out of 5 stars, gud for price
14, 4.0 out of 5 stars, satisfying at this price
15,2.0 out of 5 stars,nice shose but defctive material send me
15, 1.0 out of 5 stars, bad quality
15, 5.0 out of 5 stars, awesome shoes
15, 2.0 out of 5 stars, i dont like thik
15, 1.0 out of 5 stars, very very disastrous quality
15, 5.0 out of 5 stars, nice shoes
15, 2.0 out of 5 stars, hard top
15, 1.0 out of 5 stars, bad quantity
15, 1.0 out of 5 stars, very bad quality product dont buy
15, 5.0 out of 5 stars, junaid khan
16,1.0 out of 5 stars,poor build quality avoid it
16, 5.0 out of 5 stars, my views
16, 4.0 out of 5 stars, use and throw product
16, 5.0 out of 5 stars, value for money
16, 5.0 out of 5 stars, budget loafer for mens
16, 5.0 out of 5 stars, awesome product 
16, 4.0 out of 5 stars, kinda ok for specific purpose
16, 5.0 out of 5 stars, good product
16, 5.0 out of 5 stars, paisa vasul product
16, 4.0 out of 5 stars, elegance with economy
17,1.0 out of 5 stars,qualityis bad
17, 5.0 out of 5 stars, best according to price
17, 4.0 out of 5 stars, best for this price
17, 1.0 out of 5 stars, wrost product and so high price
17, 3.0 out of 5 stars, pasting not good
17, 4.0 out of 5 stars, price wise its good
17, 5.0 out of 5 stars, before buying just read the comments
17, 5.0 out of 5 stars, attractive
17, 3.0 out of 5 stars, must buy value for money
17, 3.0 out of 5 stars, review
18,1.0 out of 5 stars,quality is not good  and size is not ok delivered
18, 5.0 out of 5 stars, on time delivered
18, 5.0 out of 5 stars, worthy product
18, 4.0 out of 5 stars, this quality is very good 
18, 4.0 out of 5 stars, shoes
18, 1.0 out of 5 stars, poor quality
18, 1.0 out of 5 stars, bad products
18, 1.0 out of 5 stars, very waste
18, 3.0 out of 5 stars, quality
19,5.0 out of 5 stars,its good product in budget
19, 4.0 out of 5 stars, nice quality 
19, 4.0 out of 5 stars, good
19, 5.0 out of 5 stars, too good
20,3.0 out of 5 stars,looking good but product is not so good
20, 2.0 out of 5 stars, wrost product 
20, 5.0 out of 5 stars, excellent
20, 5.0 out of 5 stars, recommended
20, 4.0 out of 5 stars, its nice
20, 5.0 out of 5 stars, nice  product
20, 4.0 out of 5 stars, nice colours
20, 1.0 out of 5 stars, extra low quality shoes
20, 5.0 out of 5 stars, good product value of money
20, 5.0 out of 5 stars, worth it
21,5.0 out of 5 stars,buy one size less than your normal size
21, 5.0 out of 5 stars, paisa wasool 
21, 5.0 out of 5 stars, superb
21, 1.0 out of 5 stars, too much offence to bought this product
21, 4.0 out of 5 stars, perfect fit and good matetial
21, 1.0 out of 5 stars, foot wear not worth
21, 5.0 out of 5 stars, bata rainy shies
21, 4.0 out of 5 stars, go for it
21, 3.0 out of 5 stars, buy one size small
21, 4.0 out of 5 stars, very comfortable
22,3.0 out of 5 stars,low cost but not upto my expectations
22, 5.0 out of 5 stars, best product for its price and quality
22, 5.0 out of 5 stars, excellent value for money
22, 5.0 out of 5 stars, classy flip flops in cheap rate
22, 5.0 out of 5 stars, cheap decent slippers
22, 1.0 out of 5 stars,  star received damaged pair  stars for the product
22, 2.0 out of 5 stars, very bad product after being amazons choice
22, 4.0 out of 5 stars, regular user home
22, 4.0 out of 5 stars, extra lasting  long lasting but not everlasting
22, 5.0 out of 5 stars, good for rough and tough use
23,2.0 out of 5 stars,this is copy not original aqualite
23, 4.0 out of 5 stars, comfort  light weight
23, 4.0 out of 5 stars, does the job
23, 5.0 out of 5 stars, very nice product
23, 3.0 out of 5 stars, ok bad ok
23, 3.0 out of 5 stars, haa thek hi h ok ok
23, 2.0 out of 5 stars, unequal sole thickness of the sandal
23, 1.0 out of 5 stars, pathetic
23, 4.0 out of 5 stars, good product
23, 5.0 out of 5 stars, value for money
24,5.0 out of 5 stars,i like it
24, 5.0 out of 5 stars, for regular use and economic
24, 5.0 out of 5 stars, good
24, 5.0 out of 5 stars, comfortable
24, 1.0 out of 5 stars, rate
24, 1.0 out of 5 stars, its not long lasting
25,1.0 out of 5 stars,cheap price cheap quality didnt last  days
25, 5.0 out of 5 stars, elegant and lightweight
25, 4.0 out of 5 stars, service is good so far
25, 4.0 out of 5 stars, fit
26,5.0 out of 5 stars,value for money
27,1.0 out of 5 stars,user review
27, 5.0 out of 5 stars, totally worthy product  i loved it
28,1.0 out of 5 stars,not satisfied
28, 1.0 out of 5 stars, not worth the money
28, 2.0 out of 5 stars,    
28, 2.0 out of 5 stars, okay but hard sole
28, 1.0 out of 5 stars, pathetic shoe uncomfortable
28, 1.0 out of 5 stars, uncomfortable cheap  forgettable
28, 1.0 out of 5 stars, dont buy
28, 2.0 out of 5 stars, its not comfortable
28, 2.0 out of 5 stars, third class product dont buy waste of money
28, 4.0 out of 5 stars, nice product
29,5.0 out of 5 stars,centrino is a brand you can trust
29, 3.0 out of 5 stars, im not disappointed
29, 3.0 out of 5 stars, ok ok
29, 1.0 out of 5 stars, very poor quality dont buy
29, 1.0 out of 5 stars, replacement policy
29, 5.0 out of 5 stars, very nice pair of shoe
29, 4.0 out of 5 stars, centrino mens formal shoes
29, 5.0 out of 5 stars, great product at a budget price
29, 3.0 out of 5 stars, good looking shoes size is awkwardly long
29, 5.0 out of 5 stars, great one
30,5.0 out of 5 stars,great style shoes  must buy 
30, 5.0 out of 5 stars, best at 
30, 4.0 out of 5 stars, good one
30, 5.0 out of 5 stars, undoubtedly one of the best from sparx
30, 4.0 out of 5 stars, such a beauty
30, 5.0 out of 5 stars, quality product
30, 4.0 out of 5 stars, nice sneaker
30, 1.0 out of 5 stars, not satisfied
30, 5.0 out of 5 stars, thank you amazon
30, 5.0 out of 5 stars, best in this price
31,5.0 out of 5 stars,happy with the product
31, 5.0 out of 5 stars, mind blowing
31, 4.0 out of 5 stars, good
31, 5.0 out of 5 stars, must buy
31, 4.0 out of 5 stars, durable
31, 2.0 out of 5 stars, product r not original air
31, 3.0 out of 5 stars, shoes reviews
31, 3.0 out of 5 stars, value for money
31, 4.0 out of 5 stars, light and strong
31, 2.0 out of 5 stars, good
32,5.0 out of 5 stars,comfy 
33,1.0 out of 5 stars,very bad
33, 5.0 out of 5 stars, gd
33, 5.0 out of 5 stars, good shoes
33, 2.0 out of 5 stars, quality not as expected
33, 5.0 out of 5 stars, good product
33, 4.0 out of 5 stars, nice product
33, 2.0 out of 5 stars, quality not as expected
33, 3.0 out of 5 stars, okay but not value for money 
33, 4.0 out of 5 stars, this is
33, 1.0 out of 5 stars, bad quality
34,3.0 out of 5 stars,average
34, 5.0 out of 5 stars, nice shoes good build quality
35,1.0 out of 5 stars,waste of money
35, 4.0 out of 5 stars, product is so so
35, 5.0 out of 5 stars, comfortable and adorable
35, 1.0 out of 5 stars, wrost quility
35, 3.0 out of 5 stars, average as per price finishing not good
35, 3.0 out of 5 stars, kraasa shoes for rough use
35, 5.0 out of 5 stars, superb
35, 4.0 out of 5 stars, it could have been betteroverall good
35, 2.0 out of 5 stars, bad quality sole
35, 1.0 out of 5 stars, sole quality  very bad  damaged in  months
36,1.0 out of 5 stars,hardly  month lasts poor performance
36, 4.0 out of 5 stars, awesome product
36, 5.0 out of 5 stars, very good product as a price and size to fit or mattel quality also good
36, 3.0 out of 5 stars, can buy this item as per price
36, 5.0 out of 5 stars, awesome
36, 4.0 out of 5 stars, low price and good quality
36, 5.0 out of 5 stars, suppar
36, 3.0 out of 5 stars, good
36, 4.0 out of 5 stars, okh product
36, 5.0 out of 5 stars, honest review 
37,4.0 out of 5 stars,shoe quality
38,4.0 out of 5 stars,avg looking avg quality
38, 5.0 out of 5 stars, excellent
38, 4.0 out of 5 stars, quality product
38, 3.0 out of 5 stars, nice products
38, 1.0 out of 5 stars, quality of product is very bad if it possible i want to return it and return my money back
38, 4.0 out of 5 stars, true reviews of these shows  should you buy it or not 
38, 3.0 out of 5 stars, good shoes with comfort support
38, 5.0 out of 5 stars, great product
38, 1.0 out of 5 stars, box is open
38, 5.0 out of 5 stars, good product  stylelure mens black formal shoes
39,4.0 out of 5 stars,good
39, 5.0 out of 5 stars, worth my money
39, 3.0 out of 5 stars, disappointed
39, 1.0 out of 5 stars, one star
39, 4.0 out of 5 stars, good product
39, 1.0 out of 5 stars, very low quality
39, 2.0 out of 5 stars, bad
39, 1.0 out of 5 stars, too bad is the souel
39, 1.0 out of 5 stars, wrong information provided by the seller
39, 5.0 out of 5 stars, very comfy
40,5.0 out of 5 stars,way more better than so called brand definately go for it
40, 1.0 out of 5 stars, worst ever product
40, 1.0 out of 5 stars, if you go for cheap then you will end with  money lost
40, 5.0 out of 5 stars, shoes are really good and comfortable
40, 4.0 out of 5 stars, softness
40, 5.0 out of 5 stars, even in brands like nike puma
40, 1.0 out of 5 stars, quality is bad
40, 3.0 out of 5 stars, very average product may be just okok at the price
40, 5.0 out of 5 stars, quality as per price
40, 5.0 out of 5 stars, comfortable and light weight shoes
41,4.0 out of 5 stars,worth the money order one size up
41, 3.0 out of 5 stars, good
42,1.0 out of 5 stars,not at worth to buy
42, 1.0 out of 5 stars, not as expected
42, 1.0 out of 5 stars, cheap quality
42, 1.0 out of 5 stars, worse
42, 4.0 out of 5 stars, wroth
42, 1.0 out of 5 stars, left foot  size didnt matched with the right foot
42, 4.0 out of 5 stars, good product
42, 4.0 out of 5 stars, review of the product
42, 5.0 out of 5 stars, simple safe
42, 3.0 out of 5 stars, completely different colour and size
43,2.0 out of 5 stars,quality of the product is very low
43, 1.0 out of 5 stars, vest of money
43, 1.0 out of 5 stars, unsatisfied
43, 1.0 out of 5 stars, wastes of time and money so please improve your quality
43, 1.0 out of 5 stars, there is spot
43, 1.0 out of 5 stars, shoes is not fit
43, 1.0 out of 5 stars, bad product
43, 1.0 out of 5 stars, it is very bad
43, 1.0 out of 5 stars, plz give the better quality i want chang this shose
43, 1.0 out of 5 stars, change the size
44,4.0 out of 5 stars,size issue and tight when used with socks
44, 5.0 out of 5 stars, amazing for its price
44, 4.0 out of 5 stars, good go for it
44, 1.0 out of 5 stars, not even 
44, 5.0 out of 5 stars, great comfortable office shoe
44, 4.0 out of 5 stars, fraud seller
44, 5.0 out of 5 stars, good rubber shoes to use in rain
44, 5.0 out of 5 stars, excellent at this price range
44, 4.0 out of 5 stars, excellent product
44, 5.0 out of 5 stars, wonderful and excellent shoes 
45,4.0 out of 5 stars,good for smooth users and not gud for rough users
45, 5.0 out of 5 stars, outstanding products
45, 4.0 out of 5 stars, nice shoes
45, 5.0 out of 5 stars, 
45, 4.0 out of 5 stars, value for money
45, 4.0 out of 5 stars, nice
45, 2.0 out of 5 stars, not good
45, 2.0 out of 5 stars, sole
45, 1.0 out of 5 stars, waste product
45, 2.0 out of 5 stars, do not buy weastage of money
46,5.0 out of 5 stars,beautiful shoes 
46, 4.0 out of 5 stars, very good product but logo has comeout within  months
46, 4.0 out of 5 stars, worth for the money spent
46, 5.0 out of 5 stars, best quality as expected from bata
46, 5.0 out of 5 stars, shoe for walkers
46, 5.0 out of 5 stars, fit
46, 3.0 out of 5 stars, size is good
46, 1.0 out of 5 stars, cushion is very very poor uncomfortable
46, 1.0 out of 5 stars, price
46, 1.0 out of 5 stars, very much disappointed 
47,5.0 out of 5 stars,very good product
47, 5.0 out of 5 stars, good
47, 5.0 out of 5 stars, value for money
47, 3.0 out of 5 stars, okay product with a fundamental flaw 
47, 3.0 out of 5 stars, economical shoes for walking gym not running or jumpingrecommended
47, 1.0 out of 5 stars, dont trust the size of what they write on their page
47, 2.0 out of 5 stars, not worth for money
47, 3.0 out of 5 stars, okay product but runs small for size
47, 1.0 out of 5 stars, for improvement in size and quality
47, 4.0 out of 5 stars, its good
48,3.0 out of 5 stars,got a different brand
48, 1.0 out of 5 stars, pls give me my order
48, 5.0 out of 5 stars, value for money 
48, 5.0 out of 5 stars, amazon should change name of product from sparx to relaxo
48, 5.0 out of 5 stars, go for it
48, 5.0 out of 5 stars, wear them without caring about world but your feet
48, 4.0 out of 5 stars, great and compatible shoes must buy
48, 5.0 out of 5 stars, nice 
48, 1.0 out of 5 stars, different brand delivered but value for money
48, 5.0 out of 5 stars, good product thanks amazon 
49,4.0 out of 5 stars,go for it
49, 3.0 out of 5 stars, awesome
49, 4.0 out of 5 stars, washable shoes at reasonable price
49, 4.0 out of 5 stars, fine product  a reasonable rate
49, 4.0 out of 5 stars, good looking shoe at low price
49, 2.0 out of 5 stars, very thin sole
49, 4.0 out of 5 stars, smart  economical
49, 5.0 out of 5 stars, beautiful looks very durable attractive price
49, 1.0 out of 5 stars, the sole is too thin
49, 5.0 out of 5 stars, awesome product
50,3.0 out of 5 stars,not very comfortable the bottom is hard
50, 4.0 out of 5 stars, dipesh katara
51,5.0 out of 5 stars,nice product
51, 1.0 out of 5 stars, dont order at all
51, 1.0 out of 5 stars, not good
51, 4.0 out of 5 stars, good
52,2.0 out of 5 stars,
52, 1.0 out of 5 stars, different model they have sent
52, 5.0 out of 5 stars, size
52, 4.0 out of 5 stars, very good product and design
52, 4.0 out of 5 stars, satisfied
52, 5.0 out of 5 stars, perfect perfect perfect
52, 4.0 out of 5 stars, nice product
52, 1.0 out of 5 stars, worst product
52, 2.0 out of 5 stars, good
52, 5.0 out of 5 stars, very good
53,1.0 out of 5 stars,problem
53, 3.0 out of 5 stars, insole pads are just the worst neither size or shape
53, 1.0 out of 5 stars, not bad
53, 1.0 out of 5 stars, please exchange shoe required no
53, 1.0 out of 5 stars, poor quality and different shoes deliverd
53, 2.0 out of 5 stars, dont buy
53, 4.0 out of 5 stars, nice product but in cheap price
53, 3.0 out of 5 stars, first shoes is same but second shoes is different type but better 
53, 5.0 out of 5 stars, nice
53, 4.0 out of 5 stars, its good
54,1.0 out of 5 stars,a genuine review not worth buying
54, 5.0 out of 5 stars, light weight comfortable and stylish
54, 5.0 out of 5 stars, quality assured product
54, 1.0 out of 5 stars, horrible  day shoe
54, 4.0 out of 5 stars, wow product 
54, 5.0 out of 5 stars, awesome product
54, 4.0 out of 5 stars, bang on bucks
54, 4.0 out of 5 stars, comfy light weight nice pair of shoes
54, 5.0 out of 5 stars, value for money
54, 1.0 out of 5 stars, everything is wrong
55,1.0 out of 5 stars,poor quality
56,5.0 out of 5 stars,awesome purchase
56, 4.0 out of 5 stars, good in looks but little hard from inside
56, 4.0 out of 5 stars, good product
56, 5.0 out of 5 stars, supper
56, 5.0 out of 5 stars, good
57,1.0 out of 5 stars,do not buy
57, 5.0 out of 5 stars, excellent pair of sleepers received from the supplier
57, 5.0 out of 5 stars, cheap and best
57, 5.0 out of 5 stars, top quality best price far better than other brand
57, 5.0 out of 5 stars, quality and durability
57, 5.0 out of 5 stars, great chappals
57, 2.0 out of 5 stars, relaxo mens house slipper
57, 3.0 out of 5 stars, value for the money but pain in the foot
57, 3.0 out of 5 stars, accupressure anyone
57, 1.0 out of 5 stars, received a bag instead of slippers
58,1.0 out of 5 stars,cheap quality
58, 4.0 out of 5 stars, good very nyc
58, 4.0 out of 5 stars, order extra size
58, 1.0 out of 5 stars, worst quality of shoes
58, 1.0 out of 5 stars, bad and not upto mark
58, 1.0 out of 5 stars, money waste product hai
58, 5.0 out of 5 stars, nice one
58, 1.0 out of 5 stars, dont buy this product local quality
58, 1.0 out of 5 stars, change
58, 1.0 out of 5 stars, quality
59,5.0 out of 5 stars,worth
59, 4.0 out of 5 stars, very good item
59, 5.0 out of 5 stars, very very good product
60,5.0 out of 5 stars,best for casual wear
60, 4.0 out of 5 stars, value for money
60, 5.0 out of 5 stars, size uk
60, 5.0 out of 5 stars, good product  go for it
60, 1.0 out of 5 stars, product is too bad totaly wastage of money
60, 3.0 out of 5 stars, this boot is very nice
60, 2.0 out of 5 stars, not good
60, 1.0 out of 5 stars, sorry
60, 1.0 out of 5 stars, please dont by
60, 2.0 out of 5 stars, nothing
61,5.0 out of 5 stars,totally worthy product i loved it
61, 5.0 out of 5 stars, very comfortable to use
61, 5.0 out of 5 stars, go for it
61, 5.0 out of 5 stars, best for me
61, 5.0 out of 5 stars, delightful
61, 5.0 out of 5 stars, nice fit
61, 1.0 out of 5 stars, poor quality
61, 5.0 out of 5 stars, amazing shoes
61, 5.0 out of 5 stars, amazing experience
61, 5.0 out of 5 stars, comfortable shoes
62,3.0 out of 5 stars,quality not as good as in pictures
62, 1.0 out of 5 stars, dont buy
62, 5.0 out of 5 stars, rd time replacement without box packing but condition is good
62, 5.0 out of 5 stars, really good for a rainy day
62, 4.0 out of 5 stars, worth to buy it
62, 4.0 out of 5 stars, ok ok
62, 1.0 out of 5 stars, overall good
62, 4.0 out of 5 stars, worth buying
62, 5.0 out of 5 stars, best quality with best price
62, 5.0 out of 5 stars, sorry
63,4.0 out of 5 stars,amazing
63, 1.0 out of 5 stars, low product
63, 1.0 out of 5 stars, service is not good
63, 5.0 out of 5 stars, look very awesome shoes fit as expected
63, 2.0 out of 5 stars, not comfortable
63, 3.0 out of 5 stars, shoes display is different from which i got
63, 2.0 out of 5 stars, mostly of you can afford more than the price of this shoe go for others
63, 1.0 out of 5 stars, waste of money
63, 5.0 out of 5 stars, good
63, 5.0 out of 5 stars, good and colour is as per the pic
64,4.0 out of 5 stars,expensive
64, 1.0 out of 5 stars, dreadful experience
64, 5.0 out of 5 stars, unbelievably great
64, 5.0 out of 5 stars, as expected good quality and petent is shinning
64, 2.0 out of 5 stars, not good as expected 
64, 5.0 out of 5 stars, good looking
64, 4.0 out of 5 stars, good
64, 4.0 out of 5 stars, good as expected
64, 5.0 out of 5 stars, perfect for party wear
64, 5.0 out of 5 stars, star
65,1.0 out of 5 stars,left leg shoes is perfect but the another one is small
65, 4.0 out of 5 stars, stylish look good material in rs
65, 5.0 out of 5 stars, nice to fit
66,1.0 out of 5 stars,defective item
66, 4.0 out of 5 stars, the product is a must for people with cast
66, 1.0 out of 5 stars,  known brand in this filed but i had a bad experience by buying from amazon
66, 4.0 out of 5 stars, good to go
66, 5.0 out of 5 stars, great product if you have cast for long time   days or greater 
66, 1.0 out of 5 stars, refund still not processed
66, 1.0 out of 5 stars, flexible your exchage policy atleast for this product
66, 5.0 out of 5 stars, great support for your injured leg in cast
66, 5.0 out of 5 stars, ok
66, 4.0 out of 5 stars, worth buying
67,1.0 out of 5 stars,defective product in second time as well
67, 5.0 out of 5 stars, good
68,5.0 out of 5 stars,very comfortable stylish and light shoes at an affordable price
68, 2.0 out of 5 stars, not now
68, 5.0 out of 5 stars, recommended
68, 5.0 out of 5 stars, very good product
68, 5.0 out of 5 stars, value for money
68, 3.0 out of 5 stars, overall its ok
68, 5.0 out of 5 stars, good
68, 4.0 out of 5 stars, vary comfortable
68, 4.0 out of 5 stars, good
68, 3.0 out of 5 stars, poor quality
69,5.0 out of 5 stars,easy  comfortable
69, 4.0 out of 5 stars, good
69, 1.0 out of 5 stars, not durable bad purchase
69, 2.0 out of 5 stars, bad experience
69, 5.0 out of 5 stars, value for money
69, 4.0 out of 5 stars, nice product
69, 4.0 out of 5 stars, great footware
69, 5.0 out of 5 stars, value of money
69, 4.0 out of 5 stars, nice product
69, 1.0 out of 5 stars, colour issue
70,3.0 out of 5 stars,average products
70, 3.0 out of 5 stars, size description
70, 4.0 out of 5 stars, size different and good quality
70, 4.0 out of 5 stars, value for money
70, 4.0 out of 5 stars, product is justified the price
70, 5.0 out of 5 stars, the best thing to buy at a low price
70, 2.0 out of 5 stars, slightly disappointed
70, 4.0 out of 5 stars, good product
70, 3.0 out of 5 stars, size is different between combo shoes
70, 3.0 out of 5 stars, product good on this price but you felt problems like colour issues and size
71,3.0 out of 5 stars,not good for feet
71, 5.0 out of 5 stars, nice shoe reasonable price
71, 5.0 out of 5 stars, good
72,5.0 out of 5 stars,good sandak for rainy seasons
72, 4.0 out of 5 stars, air passing
73,5.0 out of 5 stars,very nice
73, 5.0 out of 5 stars, quality
73, 4.0 out of 5 stars, nice shoes
73, 3.0 out of 5 stars, not good but not bad
73, 5.0 out of 5 stars, good product
73, 1.0 out of 5 stars, seems like poor quality of shoe lookwise it is okay
73, 5.0 out of 5 stars, hum bol rahe toh le lo
73, 1.0 out of 5 stars, cheap quality
73, 5.0 out of 5 stars, awesome quality
73, 5.0 out of 5 stars, kraasa is a perfect outfit
74,1.0 out of 5 stars,quality of product
74, 5.0 out of 5 stars, nice
75,5.0 out of 5 stars,comfortable and worth the buy
75, 4.0 out of 5 stars, best running shoes
75, 1.0 out of 5 stars, very uncomfortable
75, 1.0 out of 5 stars, cheap material
75, 1.0 out of 5 stars, shoes are dirty
75, 5.0 out of 5 stars, goldstar mens running shoes
75, 5.0 out of 5 stars, nice
75, 4.0 out of 5 stars, good
75, 5.0 out of 5 stars, loss money
75, 1.0 out of 5 stars, bad
76,1.0 out of 5 stars,
76, 2.0 out of 5 stars, pairs no 
76, 5.0 out of 5 stars, 
76, 1.0 out of 5 stars, bad seller
76, 5.0 out of 5 stars, very good
76, 4.0 out of 5 stars, decent
76, 1.0 out of 5 stars, quality issue
76, 1.0 out of 5 stars, can definetly work upon the quality of material
76, 3.0 out of 5 stars, best app for shopping
76, 5.0 out of 5 stars, value for money product
77,4.0 out of 5 stars,comfortable fit stylish
77, 5.0 out of 5 stars, formalscumsemiformals
77, 5.0 out of 5 stars, if you have found ityou have come to the right shoe
77, 5.0 out of 5 stars, worth the price
77, 4.0 out of 5 stars, okay
77, 5.0 out of 5 stars, worth buying
77, 1.0 out of 5 stars, terrible product
77, 3.0 out of 5 stars, good
77, 4.0 out of 5 stars, perfect fitting 
77, 4.0 out of 5 stars, worth full product
78,5.0 out of 5 stars,nice
78, 5.0 out of 5 stars, value for money
78, 5.0 out of 5 stars, very good product and value for the money
78, 2.0 out of 5 stars, poor
78, 5.0 out of 5 stars, value for money
78, 1.0 out of 5 stars, disappointed with asian
78, 3.0 out of 5 stars, different model shoes
78, 5.0 out of 5 stars, great
78, 4.0 out of 5 stars, weight its really a light weight shoes
78, 5.0 out of 5 stars, very nice product
79,2.0 out of 5 stars,poor quality
79, 1.0 out of 5 stars, not recommend
79, 1.0 out of 5 stars, its damaged
80,3.0 out of 5 stars,review after purchase
80, 4.0 out of 5 stars, lite weight good quality
80, 4.0 out of 5 stars, it looks beautiful 
80, 4.0 out of 5 stars, excellent
80, 1.0 out of 5 stars, for quality
80, 1.0 out of 5 stars, worst money dont bye
80, 5.0 out of 5 stars, bad
80, 1.0 out of 5 stars, worst quality
80, 3.0 out of 5 stars, ok ok type shoes
80, 5.0 out of 5 stars, amazing
81,5.0 out of 5 stars,buy  size after calculate size chart
81, 1.0 out of 5 stars, average quality sandals
81, 5.0 out of 5 stars, very well designed comfortable and sturdy product
81, 5.0 out of 5 stars, dont think just buy it perfect product
