Product_id,Review_rating,clean_review,Emotion,Sentiment_Score
3, 5.0 out of 5 stars, nice shoes,POSITIVE,0.9998557567596436
3, 4.0 out of 5 stars, pros and cons,POSITIVE,0.9288903474807739
3, 1.0 out of 5 stars, no buy,NEGATIVE,0.9945218563079834
3, 1.0 out of 5 stars, ignore this and go for another option,NEGATIVE,0.9995249509811401
4,5.0 out of 5 stars,sup quality,NEGATIVE,0.8555764555931091
4, 3.0 out of 5 stars, good but not expected,POSITIVE,0.9991993308067322
4, 5.0 out of 5 stars, awesome ,POSITIVE,0.9998682737350464
5,5.0 out of 5 stars,best,POSITIVE,0.9997941851615906
5, 5.0 out of 5 stars, satisfied,POSITIVE,0.9997212290763855
5, 5.0 out of 5 stars, affordable beauty  the eye catcher ,POSITIVE,0.999525785446167
5, 5.0 out of 5 stars, economical and soft for feet,POSITIVE,0.9997009038925171
5, 5.0 out of 5 stars, good looking shoe however buy one size low,NEGATIVE,0.8296570181846619
5, 5.0 out of 5 stars, must bye for puja,POSITIVE,0.997525155544281
5, 1.0 out of 5 stars, why so much variation in sizes,NEGATIVE,0.950232207775116
5, 3.0 out of 5 stars, review after  days of use,POSITIVE,0.5935980677604675
5, 2.0 out of 5 stars, you get what you pay for,POSITIVE,0.9868234395980835
5, 5.0 out of 5 stars, cheap and branded spent  x  to  time is better than  one time,NEGATIVE,0.9933878183364868
6,5.0 out of 5 stars,awesome,POSITIVE,0.9998682737350464
6, 4.0 out of 5 stars, nice product,POSITIVE,0.9998539686203003
6, 4.0 out of 5 stars, nic fitting,POSITIVE,0.9759631156921387
6, 1.0 out of 5 stars, poor quality product,NEGATIVE,0.9997138381004333
6, 2.0 out of 5 stars, shoes,POSITIVE,0.9961863160133362
6, 3.0 out of 5 stars, nice,POSITIVE,0.9998552799224854
6, 1.0 out of 5 stars, bad,NEGATIVE,0.999782383441925
6, 4.0 out of 5 stars, fits comfortably,POSITIVE,0.9998462200164795
6, 5.0 out of 5 stars, so comfortable and fancy,POSITIVE,0.9998816251754761
6, 2.0 out of 5 stars, nice,POSITIVE,0.9998552799224854
7,5.0 out of 5 stars,bang for buckpaise,NEGATIVE,0.7833025455474854
7, 1.0 out of 5 stars, refund or change,NEGATIVE,0.9595266580581665
7, 4.0 out of 5 stars, this shoes are really good for casual ware ,POSITIVE,0.9992002844810486
7, 5.0 out of 5 stars, comfort,POSITIVE,0.9998326301574707
7, 4.0 out of 5 stars, got one,POSITIVE,0.9992669224739075
7, 2.0 out of 5 stars, poor quality,NEGATIVE,0.9997573494911194
7, 5.0 out of 5 stars, a good product for this price,POSITIVE,0.9998441934585571
7, 4.0 out of 5 stars, good quality but the seller have to improve their serviceas i got wrong shoe number,NEGATIVE,0.9966824650764465
7, 3.0 out of 5 stars, the soul of the shoes is not what it looks like in the photo,NEGATIVE,0.9994858503341675
7, 1.0 out of 5 stars, product not as described and vpoor quality,NEGATIVE,0.9861640334129333
8,1.0 out of 5 stars,think twice before ordering amazon,NEGATIVE,0.995890736579895
8, 1.0 out of 5 stars, very poor product dont buy it,NEGATIVE,0.9998061060905457
8, 5.0 out of 5 stars, thank you knoos and amazon,POSITIVE,0.9997544884681702
8, 1.0 out of 5 stars, not at all a good product,NEGATIVE,0.9998003840446472
8, 5.0 out of 5 stars, ossm products buy it without thinking,POSITIVE,0.9933752417564392
8, 5.0 out of 5 stars, nice shoesfits as expectedvalue for money,POSITIVE,0.9988170862197876
8, 1.0 out of 5 stars, worst worst worst,NEGATIVE,0.9997631907463074
8, 3.0 out of 5 stars, can get better stuff for this price,NEGATIVE,0.9973107576370239
8, 1.0 out of 5 stars, poor quality,NEGATIVE,0.9997573494911194
8, 1.0 out of 5 stars, buy only if you like low quality shoes,NEGATIVE,0.9917066097259521
9,5.0 out of 5 stars,material is good and comfortable nice product,POSITIVE,0.9998769760131836
9, 5.0 out of 5 stars, comffotable fit,POSITIVE,0.9937425255775452
9, 5.0 out of 5 stars, superb quality,POSITIVE,0.9998728036880493
9, 4.0 out of 5 stars, worth for money,POSITIVE,0.9988117218017578
9, 5.0 out of 5 stars, quality,POSITIVE,0.9996676445007324
9, 5.0 out of 5 stars, very comfort,POSITIVE,0.9998525381088257
9, 5.0 out of 5 stars, yah product mujhe bahut achcha,NEGATIVE,0.9574922919273376
9, 4.0 out of 5 stars, good,POSITIVE,0.9998161196708679
9, 5.0 out of 5 stars, best in bata at this range,POSITIVE,0.9995879530906677
9, 4.0 out of 5 stars, nice,POSITIVE,0.9998552799224854
10,5.0 out of 5 stars,its nice and very comfortable,POSITIVE,0.9998716115951538
10, 1.0 out of 5 stars, how can you cheat with customer you erase size number back side of shoes,NEGATIVE,0.9963157773017883
11,5.0 out of 5 stars,great looking shoes i like it,POSITIVE,0.9998774528503418
11, 1.0 out of 5 stars, total fake,NEGATIVE,0.9997647404670715
11, 5.0 out of 5 stars, feedback,POSITIVE,0.9920661449432373
11, 1.0 out of 5 stars, disappointed,NEGATIVE,0.9997841715812683
11, 3.0 out of 5 stars, below average product,NEGATIVE,0.9569394588470459
11, 1.0 out of 5 stars, pathetic product  never buy,NEGATIVE,0.9996032118797302
11, 1.0 out of 5 stars, product shown in the website is totally different than what i received,POSITIVE,0.9970784187316895
11, 1.0 out of 5 stars, dont buy,NEGATIVE,0.99004727602005
11, 2.0 out of 5 stars, poor quality,NEGATIVE,0.9997573494911194
11, 2.0 out of 5 stars, worst packaging size doesnt fits well,NEGATIVE,0.9997761845588684
12,3.0 out of 5 stars,average quality you can buy if you want to try white shoes in budget,POSITIVE,0.5754958987236023
12, 4.0 out of 5 stars, product is not very good but good,POSITIVE,0.9966967105865479
12, 5.0 out of 5 stars, very comfortable,POSITIVE,0.9998656511306763
12, 5.0 out of 5 stars, superb product,POSITIVE,0.9998654127120972
12, 4.0 out of 5 stars, nice product,POSITIVE,0.9998539686203003
12, 5.0 out of 5 stars, best at this price,POSITIVE,0.9973674416542053
12, 4.0 out of 5 stars, niceee,POSITIVE,0.9994500279426575
13,1.0 out of 5 stars,please dont buy,NEGATIVE,0.989939272403717
13, 5.0 out of 5 stars, this shoes are very light weighted,NEGATIVE,0.9128552079200745
14,5.0 out of 5 stars, no hai bhai  love it,POSITIVE,0.9405473470687866
14, 5.0 out of 5 stars, really awesome,POSITIVE,0.9998666048049927
14, 5.0 out of 5 stars, excellent sneakers,POSITIVE,0.9998413324356079
14, 5.0 out of 5 stars, chep and best,POSITIVE,0.9986336827278137
14, 5.0 out of 5 stars, kraasa is the best as per quality fit  comfort,POSITIVE,0.9996768236160278
14, 1.0 out of 5 stars, not worth the price,NEGATIVE,0.9998005032539368
14, 1.0 out of 5 stars, dont buy pathetic,NEGATIVE,0.9949712753295898
14, 3.0 out of 5 stars, a complete review of the shoe after its use,POSITIVE,0.9840397238731384
14, 3.0 out of 5 stars, gud for price,NEGATIVE,0.9673335552215576
14, 4.0 out of 5 stars, satisfying at this price,POSITIVE,0.9998735189437866
15,2.0 out of 5 stars,nice shose but defctive material send me,POSITIVE,0.9849822521209717
15, 1.0 out of 5 stars, bad quality,NEGATIVE,0.9997900128364563
15, 5.0 out of 5 stars, awesome shoes,POSITIVE,0.9998668432235718
15, 2.0 out of 5 stars, i dont like thik,NEGATIVE,0.9723605513572693
15, 1.0 out of 5 stars, very very disastrous quality,NEGATIVE,0.9997777342796326
15, 5.0 out of 5 stars, nice shoes,POSITIVE,0.9998557567596436
15, 2.0 out of 5 stars, hard top,NEGATIVE,0.7583070993423462
15, 1.0 out of 5 stars, bad quantity,NEGATIVE,0.9997887015342712
15, 1.0 out of 5 stars, very bad quality product dont buy,NEGATIVE,0.9997455477714539
15, 5.0 out of 5 stars, junaid khan,POSITIVE,0.9954498410224915
16,1.0 out of 5 stars,poor build quality avoid it,NEGATIVE,0.9997730851173401
16, 5.0 out of 5 stars, my views,POSITIVE,0.9938374161720276
16, 4.0 out of 5 stars, use and throw product,NEGATIVE,0.8560054898262024
16, 5.0 out of 5 stars, value for money,POSITIVE,0.9977725148200989
16, 5.0 out of 5 stars, budget loafer for mens,NEGATIVE,0.996208906173706
16, 5.0 out of 5 stars, awesome product ,POSITIVE,0.9998725652694702
16, 4.0 out of 5 stars, kinda ok for specific purpose,POSITIVE,0.9996589422225952
16, 5.0 out of 5 stars, good product,POSITIVE,0.9998588562011719
16, 5.0 out of 5 stars, paisa vasul product,NEGATIVE,0.8168982267379761
16, 4.0 out of 5 stars, elegance with economy,POSITIVE,0.9998700618743896
17,1.0 out of 5 stars,qualityis bad,NEGATIVE,0.9997979998588562
17, 5.0 out of 5 stars, best according to price,POSITIVE,0.9992874264717102
17, 4.0 out of 5 stars, best for this price,POSITIVE,0.9981112480163574
17, 1.0 out of 5 stars, wrost product and so high price,NEGATIVE,0.9287193417549133
17, 3.0 out of 5 stars, pasting not good,NEGATIVE,0.9997507929801941
17, 4.0 out of 5 stars, price wise its good,POSITIVE,0.9998457431793213
17, 5.0 out of 5 stars, before buying just read the comments,NEGATIVE,0.9900094866752625
17, 5.0 out of 5 stars, attractive,POSITIVE,0.9998689889907837
17, 3.0 out of 5 stars, must buy value for money,NEGATIVE,0.9828789234161377
17, 3.0 out of 5 stars, review,POSITIVE,0.9946893453598022
18,1.0 out of 5 stars,quality is not good  and size is not ok delivered,NEGATIVE,0.9995194673538208
18, 5.0 out of 5 stars, on time delivered,POSITIVE,0.9958059787750244
18, 5.0 out of 5 stars, worthy product,POSITIVE,0.9998607635498047
18, 4.0 out of 5 stars, this quality is very good ,POSITIVE,0.9998577833175659
18, 4.0 out of 5 stars, shoes,POSITIVE,0.9961863160133362
18, 1.0 out of 5 stars, poor quality,NEGATIVE,0.9997573494911194
18, 1.0 out of 5 stars, bad products,NEGATIVE,0.999790608882904
18, 1.0 out of 5 stars, very waste,NEGATIVE,0.9998071789741516
18, 3.0 out of 5 stars, quality,POSITIVE,0.9996676445007324
19,5.0 out of 5 stars,its good product in budget,POSITIVE,0.99982750415802
19, 4.0 out of 5 stars, nice quality ,POSITIVE,0.9998635053634644
19, 4.0 out of 5 stars, good,POSITIVE,0.9998161196708679
19, 5.0 out of 5 stars, too good,POSITIVE,0.9997445940971375
20,3.0 out of 5 stars,looking good but product is not so good,NEGATIVE,0.8313220143318176
20, 2.0 out of 5 stars, wrost product ,NEGATIVE,0.9979515671730042
20, 5.0 out of 5 stars, excellent,POSITIVE,0.9998434782028198
20, 5.0 out of 5 stars, recommended,POSITIVE,0.9997135996818542
20, 4.0 out of 5 stars, its nice,POSITIVE,0.999854326248169
20, 5.0 out of 5 stars, nice  product,POSITIVE,0.9998539686203003
20, 4.0 out of 5 stars, nice colours,POSITIVE,0.9998663663864136
20, 1.0 out of 5 stars, extra low quality shoes,NEGATIVE,0.9837360978126526
20, 5.0 out of 5 stars, good product value of money,POSITIVE,0.9998036026954651
20, 5.0 out of 5 stars, worth it,POSITIVE,0.9998801946640015
21,5.0 out of 5 stars,buy one size less than your normal size,NEGATIVE,0.998502254486084
21, 5.0 out of 5 stars, paisa wasool ,NEGATIVE,0.8238899111747742
21, 5.0 out of 5 stars, superb,POSITIVE,0.9998656511306763
21, 1.0 out of 5 stars, too much offence to bought this product,NEGATIVE,0.9991818070411682
21, 4.0 out of 5 stars, perfect fit and good matetial,POSITIVE,0.9998689889907837
21, 1.0 out of 5 stars, foot wear not worth,NEGATIVE,0.9997805953025818
21, 5.0 out of 5 stars, bata rainy shies,NEGATIVE,0.9965559244155884
21, 4.0 out of 5 stars, go for it,POSITIVE,0.9996144771575928
21, 3.0 out of 5 stars, buy one size small,NEGATIVE,0.6596542596817017
21, 4.0 out of 5 stars, very comfortable,POSITIVE,0.9998656511306763
22,3.0 out of 5 stars,low cost but not upto my expectations,NEGATIVE,0.9934520721435547
22, 5.0 out of 5 stars, best product for its price and quality,POSITIVE,0.9997484087944031
22, 5.0 out of 5 stars, excellent value for money,POSITIVE,0.9998660087585449
22, 5.0 out of 5 stars, classy flip flops in cheap rate,NEGATIVE,0.999052107334137
22, 5.0 out of 5 stars, cheap decent slippers,POSITIVE,0.9813025593757629
22, 1.0 out of 5 stars,  star received damaged pair  stars for the product,NEGATIVE,0.9919118881225586
22, 2.0 out of 5 stars, very bad product after being amazons choice,NEGATIVE,0.9998186230659485
22, 4.0 out of 5 stars, regular user home,NEGATIVE,0.7982476949691772
22, 4.0 out of 5 stars, extra lasting  long lasting but not everlasting,NEGATIVE,0.5309549570083618
22, 5.0 out of 5 stars, good for rough and tough use,POSITIVE,0.991940975189209
23,2.0 out of 5 stars,this is copy not original aqualite,NEGATIVE,0.9978628754615784
23, 4.0 out of 5 stars, comfort  light weight,POSITIVE,0.9993077516555786
23, 4.0 out of 5 stars, does the job,POSITIVE,0.9996944665908813
23, 5.0 out of 5 stars, very nice product,POSITIVE,0.9998691082000732
23, 3.0 out of 5 stars, ok bad ok,NEGATIVE,0.9981521964073181
23, 3.0 out of 5 stars, haa thek hi h ok ok,NEGATIVE,0.6948980689048767
23, 2.0 out of 5 stars, unequal sole thickness of the sandal,NEGATIVE,0.9777155518531799
23, 1.0 out of 5 stars, pathetic,NEGATIVE,0.9998106360435486
23, 4.0 out of 5 stars, good product,POSITIVE,0.9998588562011719
23, 5.0 out of 5 stars, value for money,POSITIVE,0.9977725148200989
24,5.0 out of 5 stars,i like it,POSITIVE,0.9998593330383301
24, 5.0 out of 5 stars, for regular use and economic,POSITIVE,0.994445264339447
24, 5.0 out of 5 stars, good,POSITIVE,0.9998161196708679
24, 5.0 out of 5 stars, comfortable,POSITIVE,0.9998550415039062
24, 1.0 out of 5 stars, rate,POSITIVE,0.9813971519470215
24, 1.0 out of 5 stars, its not long lasting,NEGATIVE,0.9983195662498474
25,1.0 out of 5 stars,cheap price cheap quality didnt last  days,NEGATIVE,0.9967086315155029
25, 5.0 out of 5 stars, elegant and lightweight,POSITIVE,0.9998340606689453
25, 4.0 out of 5 stars, service is good so far,POSITIVE,0.9998414516448975
25, 4.0 out of 5 stars, fit,POSITIVE,0.9997137188911438
26,5.0 out of 5 stars,value for money,POSITIVE,0.9977725148200989
27,1.0 out of 5 stars,user review,NEGATIVE,0.8119380474090576
27, 5.0 out of 5 stars, totally worthy product  i loved it,POSITIVE,0.9998846054077148
28,1.0 out of 5 stars,not satisfied,NEGATIVE,0.9997597336769104
28, 1.0 out of 5 stars, not worth the money,NEGATIVE,0.9998002648353577
28, 2.0 out of 5 stars,    ,POSITIVE,0.7481212019920349
28, 2.0 out of 5 stars, okay but hard sole,NEGATIVE,0.925686776638031
28, 1.0 out of 5 stars, pathetic shoe uncomfortable,NEGATIVE,0.9995195865631104
28, 1.0 out of 5 stars, uncomfortable cheap  forgettable,NEGATIVE,0.999681830406189
28, 1.0 out of 5 stars, dont buy,NEGATIVE,0.99004727602005
28, 2.0 out of 5 stars, its not comfortable,NEGATIVE,0.9997907280921936
28, 2.0 out of 5 stars, third class product dont buy waste of money,NEGATIVE,0.9991244673728943
28, 4.0 out of 5 stars, nice product,POSITIVE,0.9998539686203003
29,5.0 out of 5 stars,centrino is a brand you can trust,POSITIVE,0.9997995495796204
29, 3.0 out of 5 stars, im not disappointed,POSITIVE,0.9973672032356262
29, 3.0 out of 5 stars, ok ok,POSITIVE,0.9997230172157288
29, 1.0 out of 5 stars, very poor quality dont buy,NEGATIVE,0.9997802376747131
29, 1.0 out of 5 stars, replacement policy,NEGATIVE,0.9869077205657959
29, 5.0 out of 5 stars, very nice pair of shoe,POSITIVE,0.999850869178772
29, 4.0 out of 5 stars, centrino mens formal shoes,POSITIVE,0.8926631212234497
29, 5.0 out of 5 stars, great product at a budget price,POSITIVE,0.9997879862785339
29, 3.0 out of 5 stars, good looking shoes size is awkwardly long,NEGATIVE,0.9959010481834412
29, 5.0 out of 5 stars, great one,POSITIVE,0.9998670816421509
30,5.0 out of 5 stars,great style shoes  must buy ,POSITIVE,0.9997701048851013
30, 5.0 out of 5 stars, best at ,POSITIVE,0.9995835423469543
30, 4.0 out of 5 stars, good one,POSITIVE,0.9998288154602051
30, 5.0 out of 5 stars, undoubtedly one of the best from sparx,POSITIVE,0.9997710585594177
30, 4.0 out of 5 stars, such a beauty,POSITIVE,0.9998313188552856
30, 5.0 out of 5 stars, quality product,POSITIVE,0.9997398257255554
30, 4.0 out of 5 stars, nice sneaker,POSITIVE,0.9997394680976868
30, 1.0 out of 5 stars, not satisfied,NEGATIVE,0.9997597336769104
30, 5.0 out of 5 stars, thank you amazon,POSITIVE,0.9998086094856262
30, 5.0 out of 5 stars, best in this price,POSITIVE,0.9994934797286987
31,5.0 out of 5 stars,happy with the product,POSITIVE,0.9998677968978882
31, 5.0 out of 5 stars, mind blowing,POSITIVE,0.9980835914611816
31, 4.0 out of 5 stars, good,POSITIVE,0.9998161196708679
31, 5.0 out of 5 stars, must buy,POSITIVE,0.9820495247840881
31, 4.0 out of 5 stars, durable,POSITIVE,0.9998549222946167
31, 2.0 out of 5 stars, product r not original air,NEGATIVE,0.9996471405029297
31, 3.0 out of 5 stars, shoes reviews,POSITIVE,0.9978322386741638
31, 3.0 out of 5 stars, value for money,POSITIVE,0.9977725148200989
31, 4.0 out of 5 stars, light and strong,POSITIVE,0.9998713731765747
31, 2.0 out of 5 stars, good,POSITIVE,0.9998161196708679
32,5.0 out of 5 stars,comfy ,POSITIVE,0.9996436834335327
33,1.0 out of 5 stars,very bad,NEGATIVE,0.9997884631156921
33, 5.0 out of 5 stars, gd,NEGATIVE,0.7616451978683472
33, 5.0 out of 5 stars, good shoes,POSITIVE,0.9998462200164795
33, 2.0 out of 5 stars, quality not as expected,NEGATIVE,0.8756052851676941
33, 5.0 out of 5 stars, good product,POSITIVE,0.9998588562011719
33, 4.0 out of 5 stars, nice product,POSITIVE,0.9998539686203003
33, 2.0 out of 5 stars, quality not as expected,NEGATIVE,0.8756052851676941
33, 3.0 out of 5 stars, okay but not value for money ,NEGATIVE,0.9539081454277039
33, 4.0 out of 5 stars, this is,POSITIVE,0.9945722222328186
33, 1.0 out of 5 stars, bad quality,NEGATIVE,0.9997900128364563
34,3.0 out of 5 stars,average,POSITIVE,0.7222235798835754
34, 5.0 out of 5 stars, nice shoes good build quality,POSITIVE,0.9998587369918823
35,1.0 out of 5 stars,waste of money,NEGATIVE,0.9997931122779846
35, 4.0 out of 5 stars, product is so so,POSITIVE,0.9774606227874756
35, 5.0 out of 5 stars, comfortable and adorable,POSITIVE,0.999885082244873
35, 1.0 out of 5 stars, wrost quility,NEGATIVE,0.9920799136161804
35, 3.0 out of 5 stars, average as per price finishing not good,NEGATIVE,0.9996272325515747
35, 3.0 out of 5 stars, kraasa shoes for rough use,NEGATIVE,0.9966766834259033
35, 5.0 out of 5 stars, superb,POSITIVE,0.9998656511306763
35, 4.0 out of 5 stars, it could have been betteroverall good,NEGATIVE,0.9978677034378052
35, 2.0 out of 5 stars, bad quality sole,NEGATIVE,0.9997710585594177
35, 1.0 out of 5 stars, sole quality  very bad  damaged in  months,NEGATIVE,0.9996882677078247
36,1.0 out of 5 stars,hardly  month lasts poor performance,NEGATIVE,0.997127115726471
36, 4.0 out of 5 stars, awesome product,POSITIVE,0.9998725652694702
36, 5.0 out of 5 stars, very good product as a price and size to fit or mattel quality also good,POSITIVE,0.9998025298118591
36, 3.0 out of 5 stars, can buy this item as per price,POSITIVE,0.9826619625091553
36, 5.0 out of 5 stars, awesome,POSITIVE,0.9998682737350464
36, 4.0 out of 5 stars, low price and good quality,POSITIVE,0.9993983507156372
36, 5.0 out of 5 stars, suppar,POSITIVE,0.5697124600410461
36, 3.0 out of 5 stars, good,POSITIVE,0.9998161196708679
36, 4.0 out of 5 stars, okh product,POSITIVE,0.9966602325439453
36, 5.0 out of 5 stars, honest review ,POSITIVE,0.9998451471328735
37,4.0 out of 5 stars,shoe quality,POSITIVE,0.9940536618232727
38,4.0 out of 5 stars,avg looking avg quality,NEGATIVE,0.6027095317840576
38, 5.0 out of 5 stars, excellent,POSITIVE,0.9998434782028198
38, 4.0 out of 5 stars, quality product,POSITIVE,0.9997398257255554
38, 3.0 out of 5 stars, nice products,POSITIVE,0.9998332262039185
38, 1.0 out of 5 stars, quality of product is very bad if it possible i want to return it and return my money back,NEGATIVE,0.9997757077217102
38, 4.0 out of 5 stars, true reviews of these shows  should you buy it or not ,POSITIVE,0.9993141889572144
38, 3.0 out of 5 stars, good shoes with comfort support,POSITIVE,0.9998377561569214
38, 5.0 out of 5 stars, great product,POSITIVE,0.9998695850372314
38, 1.0 out of 5 stars, box is open,POSITIVE,0.9995064735412598
38, 5.0 out of 5 stars, good product  stylelure mens black formal shoes,POSITIVE,0.9989929795265198
39,4.0 out of 5 stars,good,POSITIVE,0.9998161196708679
39, 5.0 out of 5 stars, worth my money,POSITIVE,0.9996169805526733
39, 3.0 out of 5 stars, disappointed,NEGATIVE,0.9997841715812683
39, 1.0 out of 5 stars, one star,NEGATIVE,0.9662482738494873
39, 4.0 out of 5 stars, good product,POSITIVE,0.9998588562011719
39, 1.0 out of 5 stars, very low quality,NEGATIVE,0.9997976422309875
39, 2.0 out of 5 stars, bad,NEGATIVE,0.999782383441925
39, 1.0 out of 5 stars, too bad is the souel,NEGATIVE,0.9995694756507874
39, 1.0 out of 5 stars, wrong information provided by the seller,NEGATIVE,0.9997015595436096
39, 5.0 out of 5 stars, very comfy,POSITIVE,0.9998227953910828
40,5.0 out of 5 stars,way more better than so called brand definately go for it,POSITIVE,0.9992759823799133
40, 1.0 out of 5 stars, worst ever product,NEGATIVE,0.9997814297676086
40, 1.0 out of 5 stars, if you go for cheap then you will end with  money lost,NEGATIVE,0.9997531771659851
40, 5.0 out of 5 stars, shoes are really good and comfortable,POSITIVE,0.9998801946640015
40, 4.0 out of 5 stars, softness,POSITIVE,0.9913493394851685
40, 5.0 out of 5 stars, even in brands like nike puma,POSITIVE,0.876781702041626
40, 1.0 out of 5 stars, quality is bad,NEGATIVE,0.9997993111610413
40, 3.0 out of 5 stars, very average product may be just okok at the price,NEGATIVE,0.9847293496131897
40, 5.0 out of 5 stars, quality as per price,POSITIVE,0.9977229237556458
40, 5.0 out of 5 stars, comfortable and light weight shoes,POSITIVE,0.999797523021698
41,4.0 out of 5 stars,worth the money order one size up,POSITIVE,0.9964576363563538
41, 3.0 out of 5 stars, good,POSITIVE,0.9998161196708679
42,1.0 out of 5 stars,not at worth to buy,NEGATIVE,0.9997064471244812
42, 1.0 out of 5 stars, not as expected,NEGATIVE,0.9991262555122375
42, 1.0 out of 5 stars, cheap quality,NEGATIVE,0.9996683597564697
42, 1.0 out of 5 stars, worse,NEGATIVE,0.9997983574867249
42, 4.0 out of 5 stars, wroth,NEGATIVE,0.979745090007782
42, 1.0 out of 5 stars, left foot  size didnt matched with the right foot,NEGATIVE,0.995928943157196
42, 4.0 out of 5 stars, good product,POSITIVE,0.9998588562011719
42, 4.0 out of 5 stars, review of the product,POSITIVE,0.9560348391532898
42, 5.0 out of 5 stars, simple safe,POSITIVE,0.9997639060020447
42, 3.0 out of 5 stars, completely different colour and size,POSITIVE,0.999468982219696
43,2.0 out of 5 stars,quality of the product is very low,NEGATIVE,0.9998005032539368
43, 1.0 out of 5 stars, vest of money,NEGATIVE,0.9257267117500305
43, 1.0 out of 5 stars, unsatisfied,NEGATIVE,0.9993219375610352
43, 1.0 out of 5 stars, wastes of time and money so please improve your quality,NEGATIVE,0.9997358918190002
43, 1.0 out of 5 stars, there is spot,POSITIVE,0.9979985356330872
43, 1.0 out of 5 stars, shoes is not fit,NEGATIVE,0.9997723698616028
43, 1.0 out of 5 stars, bad product,NEGATIVE,0.9997833371162415
43, 1.0 out of 5 stars, it is very bad,NEGATIVE,0.9998049139976501
43, 1.0 out of 5 stars, plz give the better quality i want chang this shose,NEGATIVE,0.9139843583106995
43, 1.0 out of 5 stars, change the size,POSITIVE,0.9943686127662659
44,4.0 out of 5 stars,size issue and tight when used with socks,NEGATIVE,0.8704829216003418
44, 5.0 out of 5 stars, amazing for its price,POSITIVE,0.9998800754547119
44, 4.0 out of 5 stars, good go for it,POSITIVE,0.9998294115066528
44, 1.0 out of 5 stars, not even ,NEGATIVE,0.9977430105209351
44, 5.0 out of 5 stars, great comfortable office shoe,POSITIVE,0.9998427629470825
44, 4.0 out of 5 stars, fraud seller,NEGATIVE,0.9925806522369385
44, 5.0 out of 5 stars, good rubber shoes to use in rain,POSITIVE,0.9986686706542969
44, 5.0 out of 5 stars, excellent at this price range,POSITIVE,0.9998528957366943
44, 4.0 out of 5 stars, excellent product,POSITIVE,0.9998617172241211
44, 5.0 out of 5 stars, wonderful and excellent shoes ,POSITIVE,0.999881386756897
45,4.0 out of 5 stars,good for smooth users and not gud for rough users,POSITIVE,0.9991476535797119
45, 5.0 out of 5 stars, outstanding products,POSITIVE,0.9998613595962524
45, 4.0 out of 5 stars, nice shoes,POSITIVE,0.9998557567596436
45, 5.0 out of 5 stars, ,POSITIVE,0.7481212019920349
45, 4.0 out of 5 stars, value for money,POSITIVE,0.9977725148200989
45, 4.0 out of 5 stars, nice,POSITIVE,0.9998552799224854
45, 2.0 out of 5 stars, not good,NEGATIVE,0.9997889399528503
45, 2.0 out of 5 stars, sole,POSITIVE,0.9460274577140808
45, 1.0 out of 5 stars, waste product,NEGATIVE,0.9997569918632507
45, 2.0 out of 5 stars, do not buy weastage of money,NEGATIVE,0.9994309544563293
46,5.0 out of 5 stars,beautiful shoes ,POSITIVE,0.9998759031295776
46, 4.0 out of 5 stars, very good product but logo has comeout within  months,POSITIVE,0.9802587032318115
46, 4.0 out of 5 stars, worth for the money spent,POSITIVE,0.9962900876998901
46, 5.0 out of 5 stars, best quality as expected from bata,POSITIVE,0.9994390606880188
